state,year,state_unemployment,state_median_income,state_per_capita_income,state_gdp,state_nonfarm_employment,national_unemployment,fed_funds_rate,cpi,mortgage_30yr,consumer_confidence,treasury_10yr,unemployment_vs_national
AL,2010,10.375,56840.0,33848.0,177510.7,1889.7667,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,0.7667000000000002
AL,2011,9.5583,57360.0,34884.0,182896.7,1890.1,8.9333,0.1017,224.923,4.4479,67.35,2.7816,0.625
AL,2012,8.175,57430.0,35559.0,188280.7,1905.8,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.10000000000000142
AL,2013,7.3583,61770.0,35706.0,193981.5,1924.125,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,0.0
AL,2014,6.7667,54420.0,36722.0,197064.4,1943.9083,6.1583,0.0892,236.715,4.1689,84.125,2.5396,0.6084000000000005
AL,2015,6.0833,57330.0,38189.0,203113.3,1970.925,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.8083
AL,2016,5.8,60290.0,38704.0,208824.3,1996.9167,4.875,0.395,240.0054,3.654,91.8417,1.8374,0.9249999999999998
AL,2017,4.5083,63820.0,39968.0,216615.5,2018.6167,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.15000000000000036
AL,2018,3.925,61420.0,41324.0,226263.8,2046.05,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,0.03329999999999966
AL,2019,3.1917,68110.0,42998.0,234798.2,2077.55,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.48329999999999984
AK,2010,7.9917,80320.0,49543.0,53654.0,324.8083,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-1.6166
AK,2011,7.6083,77340.0,52415.0,56912.3,330.0917,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-1.3249999999999993
AK,2012,7.1333,84090.0,53340.0,58320.7,335.4417,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-0.9416999999999991
AK,2013,6.925,94600.0,52252.0,57533.0,336.6583,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-0.4333
AK,2014,6.7417,87040.0,55098.0,56587.4,338.2583,6.1583,0.0892,236.715,4.1689,84.125,2.5396,0.5834000000000001
AK,2015,6.2833,96750.0,56714.0,51574.2,339.025,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,1.0082999999999993
AK,2016,6.625,96680.0,55536.0,51121.8,333.3917,4.875,0.395,240.0054,3.654,91.8417,1.8374,1.75
AK,2017,6.6083,97850.0,56500.0,53550.9,329.2667,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,2.25
AK,2018,6.0917,84540.0,58997.0,54762.0,327.6583,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,2.2
AK,2019,5.6,95010.0,60504.0,54549.6,329.9833,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,1.9249999999999998
AZ,2010,10.3583,65120.0,33778.0,250527.0,2385.8333,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,0.75
AZ,2011,9.5,65480.0,35263.0,261691.4,2411.6917,8.9333,0.1017,224.923,4.4479,67.35,2.7816,0.5667000000000009
AZ,2012,8.3917,62160.0,36364.0,272703.3,2462.375,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.31670000000000087
AZ,2013,7.8417,68680.0,36918.0,278679.5,2519.9167,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,0.4834000000000005
AZ,2014,6.8167,63390.0,38268.0,286676.0,2570.1167,6.1583,0.0892,236.715,4.1689,84.125,2.5396,0.6584000000000003
AZ,2015,6.1083,67300.0,39888.0,298942.2,2635.3167,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.8332999999999995
AZ,2016,5.5,72900.0,41173.0,313787.1,2708.7083,4.875,0.395,240.0054,3.654,91.8417,1.8374,0.625
AZ,2017,4.9583,74900.0,43255.0,333099.0,2777.4167,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.6000000000000005
AZ,2018,4.8083,76600.0,45297.0,353671.0,2857.925,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,0.9165999999999999
AZ,2019,4.8167,85650.0,47718.0,375376.7,2942.6667,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,1.1417000000000002
AR,2010,7.8333,53580.0,32218.0,101699.3,1150.9667,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-1.7749999999999995
AR,2011,7.8833,55620.0,34181.0,105697.6,1157.1583,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-1.049999999999999
AR,2012,7.2583,51550.0,36289.0,108836.0,1164.4417,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-0.8166999999999991
AR,2013,7.0417,51400.0,36286.0,114021.1,1165.0917,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-0.3166000000000002
AR,2014,5.875,57820.0,38220.0,117388.7,1176.5333,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-0.28329999999999966
AR,2015,4.95,55130.0,39267.0,118573.6,1199.575,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-0.3250000000000002
AR,2016,3.975,58610.0,40181.0,120987.4,1218.725,4.875,0.395,240.0054,3.654,91.8417,1.8374,-0.8999999999999999
AR,2017,3.7417,62420.0,41403.0,123882.6,1233.3917,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-0.6166
AR,2018,3.65,61230.0,43031.0,129213.8,1246.1333,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-0.24170000000000025
AR,2019,3.4917,66100.0,43737.0,132625.8,1255.7083,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.18330000000000002
CA,2010,12.3167,75370.0,43137.0,1938603.3,14282.9,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,2.708400000000001
CA,2011,11.7333,71870.0,45508.0,2014050.3,14436.85,8.9333,0.1017,224.923,4.4479,67.35,2.7816,2.8000000000000007
CA,2012,10.3917,75340.0,47793.0,2108873.1,14761.5917,8.075,0.14,229.5861,3.6575,76.5417,1.8034,2.316700000000001
CA,2013,9.025,79360.0,48074.0,2223300.9,15150.925,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,1.6667000000000005
CA,2014,7.5667,77850.0,50617.0,2342218.8,15574.275,6.1583,0.0892,236.715,4.1689,84.125,2.5396,1.4084000000000003
CA,2015,6.2167,81970.0,53816.0,2487156.4,16049.2833,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.9417
CA,2016,5.5167,85080.0,55862.0,2586485.2,16479.125,4.875,0.395,240.0054,3.654,91.8417,1.8374,0.6417000000000002
CA,2017,4.8333,87880.0,58214.0,2740550.3,16826.6917,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.47500000000000053
CA,2018,4.2583,86690.0,60984.0,2899530.9,17171.7333,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,0.36660000000000004
CA,2019,4.0917,94660.0,64219.0,3068629.7,17432.1167,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,0.4167000000000005
CO,2010,9.1417,83640.0,40827.0,256771.8,2221.0,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-0.4665999999999997
CO,2011,8.6917,78960.0,43735.0,266114.1,2257.4083,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-0.24159999999999826
CO,2012,7.9917,75650.0,45495.0,274738.8,2311.7167,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-0.08329999999999949
CO,2013,6.725,88650.0,47088.0,291265.3,2380.5,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-0.6333000000000002
CO,2014,4.95,78430.0,50251.0,309223.9,2463.45,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-1.2082999999999995
CO,2015,3.7,85780.0,51401.0,320895.9,2541.1667,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-1.5750000000000002
CO,2016,3.1167,90090.0,51312.0,330565.9,2601.5083,4.875,0.395,240.0054,3.654,91.8417,1.8374,-1.7583000000000002
CO,2017,2.6167,94080.0,54176.0,350209.1,2659.9667,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-1.7416
CO,2018,3.025,89820.0,57798.0,373923.1,2727.2667,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-0.8667000000000002
CO,2019,2.6667,87870.0,61278.0,397843.6,2789.8667,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-1.0082999999999998
CT,2010,9.4917,91640.0,61392.0,234022.2,1616.975,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-0.11660000000000004
CT,2011,9.0083,88100.0,62964.0,233058.7,1634.175,8.9333,0.1017,224.923,4.4479,67.35,2.7816,0.07500000000000107
CT,2012,8.3833,84880.0,63556.0,239907.5,1648.3417,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.3083000000000009
CT,2013,7.95,90450.0,62000.0,240549.2,1661.075,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,0.5917000000000003
CT,2014,6.6167,90300.0,64484.0,247114.7,1672.9333,6.1583,0.0892,236.715,4.1689,84.125,2.5396,0.45840000000000014
CT,2015,5.6083,93880.0,66222.0,260648.5,1686.7833,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.3332999999999995
CT,2016,4.875,96930.0,67551.0,264760.4,1692.4833,4.875,0.395,240.0054,3.654,91.8417,1.8374,0.0
CT,2017,4.4083,93230.0,69147.0,273875.1,1696.1917,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.04999999999999982
CT,2018,3.9,89550.0,72159.0,280535.4,1699.1083,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,0.008299999999999752
CT,2019,3.5833,105800.0,74176.0,286451.9,1696.0333,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.09169999999999989
DE,2010,8.3,76670.0,41100.0,58132.2,412.7583,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-1.3082999999999991
DE,2011,7.4333,73610.0,43779.0,61379.4,416.1,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-1.4999999999999991
DE,2012,6.9583,64700.0,43771.0,62342.1,418.3583,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-1.116699999999999
DE,2013,6.5333,70610.0,43943.0,62058.2,427.1917,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-0.8250000000000002
DE,2014,5.6167,74040.0,45359.0,68606.0,436.9167,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-0.5415999999999999
DE,2015,4.8083,74390.0,47238.0,72352.5,446.8917,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-0.46670000000000034
DE,2016,4.5333,74110.0,48186.0,70021.5,451.45,4.875,0.395,240.0054,3.654,91.8417,1.8374,-0.34170000000000034
DE,2017,4.4,81510.0,49997.0,69555.6,455.125,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.041700000000000514
DE,2018,3.6917,79960.0,52670.0,73376.0,460.35,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-0.20000000000000018
DE,2019,3.55,89920.0,53778.0,78710.5,465.475,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.125
FL,2010,11.25,61190.0,38779.0,752998.4,7175.525,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,1.6417000000000002
FL,2011,10.1833,60740.0,40437.0,761043.1,7256.3917,8.9333,0.1017,224.923,4.4479,67.35,2.7816,1.25
FL,2012,8.675,60870.0,41211.0,784545.9,7402.1417,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.6000000000000014
FL,2013,7.5167,63350.0,40743.0,819679.8,7589.425,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,0.15840000000000032
FL,2014,6.4417,59390.0,42877.0,860112.6,7831.725,6.1583,0.0892,236.715,4.1689,84.125,2.5396,0.2834000000000003
FL,2015,5.5,62890.0,44957.0,918464.3,8115.0083,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.22499999999999964
FL,2016,4.9083,65340.0,45730.0,964500.8,8392.6083,4.875,0.395,240.0054,3.654,91.8417,1.8374,0.03329999999999966
FL,2017,4.2833,66610.0,48447.0,1014866.9,8578.3667,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-0.07500000000000018
FL,2018,3.6417,67210.0,51015.0,1072085.6,8790.0417,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-0.25
FL,2019,3.2417,70740.0,53666.0,1133718.0,8972.9833,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.4333
GA,2010,10.3833,61260.0,34740.0,419013.1,3860.2083,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,0.7750000000000004
GA,2011,10.0333,61910.0,36760.0,433137.1,3900.675,8.9333,0.1017,224.923,4.4479,67.35,2.7816,1.1000000000000014
GA,2012,9.0417,63580.0,37250.0,449375.6,3953.0333,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.9667000000000012
GA,2013,8.1333,61340.0,37484.0,467559.5,4031.4167,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,0.7750000000000004
GA,2014,7.15,63780.0,39550.0,493370.3,4144.05,6.1583,0.0892,236.715,4.1689,84.125,2.5396,0.9917000000000007
GA,2015,6.05,65390.0,41527.0,525516.8,4262.7083,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.7749999999999995
GA,2016,5.45,68340.0,42742.0,554903.2,4375.3,4.875,0.395,240.0054,3.654,91.8417,1.8374,0.5750000000000002
GA,2017,4.7583,72750.0,44836.0,583543.3,4459.875,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.40000000000000036
GA,2018,4.0167,68650.0,46624.0,612803.4,4545.7167,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,0.125
GA,2019,3.6,68630.0,48529.0,646695.8,4632.275,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.07499999999999973
HI,2010,6.7,82670.0,41498.0,66739.3,588.1333,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-2.9082999999999997
HI,2011,6.7083,79520.0,42758.0,68801.1,594.8417,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-2.2249999999999988
HI,2012,5.8083,74340.0,43523.0,71645.6,607.5083,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-2.2666999999999993
HI,2013,4.7167,83850.0,43548.0,74598.5,620.025,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-2.6415999999999995
HI,2014,4.225,91670.0,45445.0,77043.0,628.5,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-1.9333
HI,2015,3.4167,83100.0,47150.0,81410.2,639.1,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-1.8583000000000003
HI,2016,2.9083,92090.0,48561.0,84287.2,647.6,4.875,0.395,240.0054,3.654,91.8417,1.8374,-1.9667
HI,2017,2.2333,92340.0,50506.0,87436.4,654.95,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-2.125
HI,2018,2.4,98520.0,51554.0,90933.5,658.1583,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-1.4917000000000002
HI,2019,2.5083,106700.0,53940.0,93240.2,658.6,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-1.1666999999999996
ID,2010,9.125,65330.0,31948.0,56086.2,603.1083,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-0.48329999999999984
ID,2011,8.4417,63910.0,33447.0,57418.2,610.4583,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-0.49159999999999826
ID,2012,7.525,63320.0,34812.0,57933.7,621.925,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-0.5499999999999989
ID,2013,6.9,63270.0,35699.0,61712.6,637.5583,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-0.4582999999999995
ID,2014,4.4083,68780.0,37107.0,64501.7,653.8,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-1.75
ID,2015,3.9083,66490.0,38813.0,66064.9,671.55,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-1.3667000000000002
ID,2016,3.7083,72220.0,39653.0,69185.2,694.225,4.875,0.395,240.0054,3.654,91.8417,1.8374,-1.1667
ID,2017,3.1833,74650.0,41197.0,72935.1,714.8667,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-1.1749999999999998
ID,2018,2.875,72230.0,43254.0,79072.4,738.6167,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-1.0167000000000002
ID,2019,2.8833,79970.0,45880.0,84429.4,760.175,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.7916999999999996
IL,2010,10.3917,70440.0,42107.0,663929.0,5610.4083,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,0.7834000000000003
IL,2011,9.7667,68190.0,44075.0,691805.5,5678.1667,8.9333,0.1017,224.923,4.4479,67.35,2.7816,0.833400000000001
IL,2012,9.0333,68360.0,45934.0,725478.0,5750.7333,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.9583000000000013
IL,2013,9.075,70410.0,46735.0,742890.9,5803.3333,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,1.7166999999999994
IL,2014,7.1583,70680.0,48536.0,772291.7,5877.95,6.1583,0.0892,236.715,4.1689,84.125,2.5396,1.0
IL,2015,5.9917,77810.0,50688.0,802592.0,5965.4833,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,0.7166999999999994
IL,2016,5.8833,78370.0,51347.0,813561.6,6013.0417,4.875,0.395,240.0054,3.654,91.8417,1.8374,1.0083000000000002
IL,2017,4.9583,82770.0,53056.0,832826.8,6056.175,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,0.6000000000000005
IL,2018,4.3917,86270.0,56077.0,871024.2,6102.2667,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,0.5
IL,2019,3.975,90170.0,57738.0,895601.8,6125.425,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,0.30000000000000027
IN,2010,9.975,64070.0,35590.0,284685.8,2800.4667,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,0.3666999999999998
IN,2011,8.9083,59850.0,37681.0,292373.8,2846.375,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-0.02499999999999858
IN,2012,8.2167,60980.0,39148.0,301277.4,2902.975,8.075,0.14,229.5861,3.6575,76.5417,1.8034,0.14170000000000016
IN,2013,7.5083,64560.0,39435.0,313466.9,2937.9083,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,0.15000000000000036
IN,2014,5.95,61860.0,40719.0,329360.9,2979.6667,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-0.20829999999999949
IN,2015,4.8,66960.0,42146.0,333163.8,3034.2917,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-0.47500000000000053
IN,2016,4.3917,71620.0,43143.0,342716.6,3074.075,4.875,0.395,240.0054,3.654,91.8417,1.8374,-0.48329999999999984
IN,2017,3.525,73730.0,44568.0,357535.8,3107.525,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-0.8332999999999999
IN,2018,3.4333,73660.0,46555.0,377376.9,3139.2417,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-0.45840000000000014
IN,2019,3.3167,80830.0,48270.0,384838.7,3160.1083,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-0.35829999999999984
IA,2010,6.0917,68060.0,38190.0,142497.7,1469.3,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-3.5165999999999995
IA,2011,5.5833,67630.0,40879.0,149026.1,1486.25,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-3.3499999999999988
IA,2012,5.0083,70610.0,42539.0,158553.1,1508.875,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-3.066699999999999
IA,2013,4.725,78530.0,43009.0,162415.0,1528.15,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-2.6333
IA,2014,4.2583,74410.0,44120.0,173734.2,1546.9167,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-1.8999999999999995
IA,2015,3.7167,78380.0,45442.0,181471.7,1561.3417,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-1.5583000000000005
IA,2016,3.6,75450.0,45669.0,183834.8,1570.8333,4.875,0.395,240.0054,3.654,91.8417,1.8374,-1.275
IA,2017,3.0917,79630.0,46767.0,187125.0,1572.8417,4.3583,1.0017,245.121,3.9898,96.7667,2.3295,-1.2666
IA,2018,2.5833,84520.0,48773.0,193155.1,1583.5333,3.8917,1.8317,251.0995,4.5446,98.3667,2.9112,-1.3084000000000002
IA,2019,2.6583,80050.0,49674.0,196262.5,1587.2083,3.675,2.1583,255.6526,3.9358,95.9833,2.1414,-1.0166999999999997
KS,2010,6.9417,63950.0,39821.0,129235.7,1330.575,9.6083,0.175,218.0762,4.6898,71.8417,3.2151,-2.6666
KS,2011,6.35,62150.0,42889.0,136747.1,1340.6083,8.9333,0.1017,224.923,4.4479,67.35,2.7816,-2.5832999999999995
KS,2012,5.6833,66060.0,44913.0,141812.1,1357.9917,8.075,0.14,229.5861,3.6575,76.5417,1.8034,-2.3916999999999993
KS,2013,5.3167,62420.0,45669.0,144999.3,1372.3917,7.3583,0.1075,232.9517,3.9756,79.2083,2.3502,-2.0416
KS,2014,4.525,68790.0,46289.0,150276.1,1391.4167,6.1583,0.0892,236.715,4.1689,84.125,2.5396,-1.6332999999999993
KS,2015,4.175,70670.0,46597.0,155699.0,1400.65,5.275,0.1325,237.0018,3.8506,92.9417,2.1383,-1.1000000000000005
KS,2016,4.05,72530.0,46717.0,162144.5,1404.6917,4.875,0.395,240.0054,3.654,91.8417,1.8374,-0.8250000000000002
